ToyCar
id,AUC,pAUC
01,0.7151839826839828,0.599624060150376
02,0.7641725067385445,0.6274081429990069
03,0.5752776280323451,0.5220314938289119
04,0.7174986522911051,0.5973897006667612
Average,0.6930331924364944,0.586613349411264

